T;P;V
86;120;5
86;153;5
86;170;5
86;201;5
86;212;4
86;235;5
86;247;5
86;259;5
86;270;4
86;278;5
86;291;4
86;301;4
86;350;5
87;395;5
87;24;5
87;33;5
87;60;5
87;93;5
87;100;5
87;107;4
87;125;5
87;158;5
87;174;4
87;206;5
87;217;5
87;240;5
87;252;5
87;263;4
87;275;5
87;282;4
87;296;5
87;306;5
87;354;4
88;0;5
88;29;5
88;38;5
88;65;5
88;98;5
88;105;5
88;112;5
88;130;5
88;163;5
88;179;5
88;211;5
88;222;5
88;245;5
88;257;5
88;268;5
88;279;4
88;287;5
88;301;5
88;311;5
88;359;5
89;4;4
89;33;4
89;42;4
89;70;5
89;102;4
89;110;5
89;116;4
89;134;4
89;168;5
89;184;5
89;216;5
89;227;5
89;250;5
89;262;5
89;273;5
89;284;5
89;292;5
89;306;5
89;316;5
89;363;4
90;8;4
90;37;4
90;47;5
90;75;5
90;107;5
90;115;5
90;121;5
90;139;5
90;173;5
90;189;5
90;220;4
90;232;5
90;255;5
90;266;4
90;278;5
90;289;5
90;297;5
90;311;5
90;320;4
90;368;5
91;12;4
91;41;4
91;52;5
91;80;5
91;112;5
91;120;5
91;126;5
91;144;5
91;177;4
91;194;5
91;225;5
91;237;5
91;260;5
91;271;5
91;283;5
91;293;4
91;302;5
91;315;4
91;325;5
91;372;4
92;16;4
92;46;5
92;56;4
92;84;4
92;117;5
92;125;5
92;131;5
92;149;5
92;181;4
92;198;4
92;229;4
92;242;5
92;265;5
92;276;5
92;288;5
92;298;5
92;307;5
92;320;5
92;330;5
92;376;4
93;21;5
93;51;5
93;61;5
93;89;5
93;122;5
93;129;4
93;135;4
93;153;4
93;186;5
93;203;5
93;234;5
93;247;5
93;270;5
93;280;4
93;292;4
93;303;5
93;312;5
93;324;4
93;335;5
93;381;5
94;26;5
94;56;5
94;66;5
94;93;4
94;127;5
94;134;5
94;140;5
94;158;5
94;191;5
94;208;5
94;239;5
94;251;4
94;274;4
94;285;5
94;297;5
94;308;5
94;317;5
94;329;5
94;339;4
94;385;4
95;31;5
95;60;4
95;71;5
95;98;5
95;132;5
95;139;5
95;144;4
95;163;5
95;195;4
95;212;4
95;244;5
95;256;5
95;279;5
95;289;4
95;302;5
95;313;5
95;322;5
95;333;4
95;343;4
95;389;4
96;36;5
96;65;5
96;75;4
96;103;5
96;136;4
96;142;3
96;148;4
96;167;4
96;200;5
96;217;5
96;248;4
96;261;5
96;284;5
96;293;4
96;307;5
96;318;5
96;326;4
96;337;4
96;348;5
96;394;5
97;40;4
97;69;4
97;80;5
97;108;5
97;140;4
97;146;4
97;153;5
97;172;5
97;204;4
97;221;4
97;253;5
97;266;5
97;289;5
97;297;4
97;311;4
97;323;5
97;330;4
97;341;4
97;353;5
97;398;4
98;45;5
98;73;4
98;85;5
98;112;4
98;144;4
98;151;5
98;158;5
98;177;5
98;209;5
98;226;5
98;258;5
98;271;5
98;294;5
98;301;4
98;315;4
98;327;4
98;335;5
98;345;4
98;357;4
98;2;4
99;49;4
99;77;4
99;90;5
99;116;4
99;148;4
99;156;5
99;163;5
99;181;4
99;214;5
99;231;5
99;262;4
99;276;5
99;299;5
99;306;5
99;319;4
99;332;5
99;340;5
99;350;5
99;362;5
99;7;5
100;53;4
100;82;5
100;94;4
100;121;5
100;153;5
100;161;5
100;168;5
100;185;4
100;219;5
100;235;4
100;266;4
100;281;5
100;304;5
100;311;5
100;324;5
100;337;5
100;345;5
100;354;4
100;367;5
100;12;5
101;57;4
101;87;5
101;99;5
101;126;5
101;158;5
101;165;4
101;173;5
101;189;4
101;223;4
101;239;4
101;270;4
101;286;5
101;308;4
101;316;5
101;328;4
101;342;5
101;349;4
101;359;5
101;372;5
101;17;5
102;61;4
102;91;4
102;104;5
102;131;5
102;163;5
102;170;5
102;178;5
102;194;5
102;228;5
102;243;4
102;274;4
102;290;4
102;313;5
102;321;5
102;333;5
102;347;5
102;353;4
102;364;5
102;377;5
102;21;4
103;66;5
103;96;5
103;109;5
103;136;5
103;168;5
103;175;5
103;183;5
103;198;4
103;232;4
103;248;5
103;279;5
103;295;5
103;318;5
103;326;5
103;337;4
103;352;5
103;357;4
103;368;4
103;381;4
103;26;5
104;71;5
104;100;4
104;113;4
104;141;5
104;173;5
104;180;5
104;188;5
104;203;5
104;237;5
104;253;5
104;284;5
104;300;5
104;322;4
104;330;4
104;342;5
104;356;4
104;362;5
104;373;5
104;386;5
104;31;5
105;76;5
105;105;5
105;117;4
105;146;5
105;178;5
105;184;4
105;193;5
105;208;5
105;241;4
105;258;5
105;289;5
105;304;4
105;327;5
105;335;5
105;347;5
105;360;4
105;367;5
105;377;4
105;390;4
105;36;5
106;80;4
106;109;4
106;121;4
106;150;4
106;183;5
106;189;5
106;198;5
106;213;5
106;245;4
106;263;5
106;294;5
106;308;4
106;331;4
106;339;4
106;352;5
106;364;4
106;371;4
106;381;4
106;395;5
106;41;5
107;84;4
107;113;4
107;126;5
107;154;4
107;188;5
107;193;4
107;202;4
107;218;5
107;250;5
107;267;4
107;298;4
107;313;5
107;335;4
107;343;4
107;357;5
107;369;5
107;376;5
107;386;5
107;0;5
107;46;5
108;89;5
108;117;4
108;131;5
108;159;5
108;192;4
108;198;5
108;207;5
108;223;5
108;255;5
108;272;5
108;302;4
108;317;4
108;339;4
108;347;4
108;361;4
108;373;4
108;381;5
108;391;5
108;5;5
108;51;5
109;93;4
109;121;4
109;136;5
109;164;5
109;197;5
109;203;5
109;212;5
109;227;4
109;259;4
109;276;4
109;307;5
109;321;4
109;344;5
109;352;5
109;365;4
109;378;5
109;385;4
109;395;4
109;9;4
109;56;5
110;97;4
110;126;5
110;141;5
110;168;4
110;202;5
110;207;4
110;217;5
110;232;5
110;264;5
110;280;4
110;311;4
110;326;5
110;349;5
110;356;4
110;370;5
110;383;5
110;390;5
110;0;5
110;14;5
110;60;4
111;102;5
111;131;5
111;145;4
111;172;4
111;206;4
111;212;5
111;222;5
111;237;5
111;269;5
111;285;5
111;315;4
111;331;5
111;354;5
111;361;5
111;374;4
111;387;4
111;395;5
111;5;5
111;19;5
111;65;5
112;107;5
112;135;4
112;149;4
112;176;4
112;210;4
112;216;4
112;226;4
112;241;4
112;274;5
112;290;5
112;320;5
112;335;4
112;359;5
112;365;4
112;378;4
112;392;5
112;399;4
112;9;4
112;24;5
112;70;5
113;112;5
113;139;4
113;153;4
113;181;5
113;215;5
113;221;5
113;231;5
113;245;4
113;278;4
113;294;4
113;324;4
113;340;5
113;364;5
113;370;5
113;383;5
113;397;5
113;4;5
113;13;4
113;29;5
113;74;4
114;117;5
114;144;5
114;157;4
114;186;5
114;220;5
114;226;5
114;236;5
114;250;5
114;283;5
114;298;4
114;329;5
114;345;5
114;368;4
114;375;5
114;387;4
114;1;4
114;8;4
114;17;4
114;34;5
114;79;5
115;122;5
115;148;4
115;161;4
115;191;5
115;225;5
115;231;5
115;241;5
115;254;4
115;287;4
115;302;4
115;334;5
115;350;5
115;373;5
115;380;5
115;392;5
115;6;5
115;13;5
115;21;4
115;39;5
115;84;5
116;127;5
116;153;5
116;166;5
116;196;5
116;229;4
116;236;5
116;246;5
116;259;5
116;292;5
