Wetter (Ruhr);27441;51,3881;7,395
Griesheim;27435;49,8594;8,5525
Arnstadt;27304;50,8342;10,9464
Aschersleben;27220;51,75;11,4667
Geilenkirchen;27214;50,9653;6,1194
Rheinbach;27063;50,6256;6,9491
Overath;27040;50,9328;7,2839
Baesweiler;27033;50,9;6,1833
Leimen;26968;49,3481;8,6911
Wangen im Allgäu;26905;47,6858;9,8342
Schloß Holte-Stukenbrock;26776;51,8833;8,6167
Lohne;26762;52,6667;8,2386
Wiesloch;26758;49,2942;8,6983
Hamminkeln;26739;51,7319;6,5908
Strausberg;26587;52,5808;13,8814
Lauf;26515;49,5103;11,2772
Neckarsulm;26492;49,1917;9,2244
Heiligenhaus;26335;51,3265;6,971
Sangerhausen;26297;51,4667;11,3
Hennigsdorf;26272;52,6378;13,2036
Ehingen an der Donau;26259;48,2833;9,7236
Butzbach;26197;50,4367;8,6622
Nordenham;26193;53,5;8,4667
Hohen Neuendorf;26159;52,6667;13,2831
Ludwigsfelde;26112;52,2997;13,2667
Mühlacker;26076;48,95;8,8392
Heppenheim;26023;49,6415;8,645
Selm;26011;51,6833;7,4833
Weiterstadt;25975;49,9;8,6
Pfaffenhofen;25917;48,5333;11,5167
Kulmbach;25915;50,1;11,4333
Sankt Wendel;25862;49,4667;7,1667
Teltow;25825;52,4022;13,2706
Bad Honnef am Rhein;25816;50,645;7,2269
Helmstedt;25728;52,2281;11,0106
Bingen am Rhein;25659;49,9669;7,895
Achern;25630;48,6314;8,0739
Zirndorf;25596;49,45;10,95
Roth;25593;49,2461;11,0911
Lennestadt;25503;51,1236;8,0681
Verl;25498;51,8831;8,5167
Lindau;25490;47,5458;9,6839
Lübbecke;25490;52,3081;8,6231
Rinteln;25484;52,1906;9,0814
Brilon;25417;51,3956;8,5678
Staßfurt;25385;51,8667;11,5667
Zittau;25381;50,8961;14,8072
Plettenberg;25318;51,2128;7,8715
Groß-Gerau;25302;49,9214;8,4818
Schleswig;25276;54,5153;9,5697
Geretsried;25275;47,8667;11,4667
Rottweil;25274;48,1681;8,6247
Friedrichsdorf;25194;50,2569;8,6418
Petershagen;25168;52,3833;8,9667
Pfungstadt;25151;49,8056;8,6044
Bad Oldesloe;24744;53,8117;10,3742
Olpe;24688;51,0289;7,8514
Rathenow;24309;52,6;12,3333
Senftenberg;24275;51,5167;14,0167
Meiningen;24233;50,55;10,4167
Waldshut-Tiengen;24226;47,6231;8,2144
Sonneberg;23830;50,35;11,1667
Salzwedel;23655;52,85;11,15
Calw;23590;48,7144;8,7375
Korbach;23581;51,2719;8,8731
Starnberg;23498;47,9972;11,3406
Freudenstadt;23442;48,4633;8,4111
Mosbach;23398;49,35;9,1333
Husum;23189;54,4769;9,0511
Westerstede;22778;53,25;7,9167
Burg;22478;52,2725;11,855
Weilheim;22477;47,8333;11,1333
Bad Kissingen;22444;50,2;10,0667
Stadthagen;22247;52,3247;9,2069
Apolda;22012;51,0247;11,5139
Heide;21852;54,1961;9,0933
Osterode;21731;51,7286;10,2522
Kitzingen;21704;49,7333;10,1667
Sonthofen;21541;47,5142;10,2817
Sondershausen;21513;51,3667;10,8667
Aichach;21434;48,45;11,1333
Germersheim;20779;49,2167;8,3667
Günzburg;20707;48,4525;10,2711
Luckenwalde;20522;52,0831;13,1667
Traunstein;20520;47,8683;12,6433
Mühldorf;20323;48,2456;12,5228
Wittmund;20321;53,5747;7,7808
Bad Salzungen;20244;50,8117;10,2333
Lichtenfels;20133;50,1333;11,0333
Greiz;20103;50,6547;12,1997
Donauwörth;20080;48,7184;10,777
Torgau;20065;51,5603;13,0056
Holzminden;19998;51,8297;9,4483
Dingolfing;19839;48,6333;12,5
Annaberg-Buchholz;19769;50,58;13,0022
Eschwege;19606;51,1881;10,0528
Haldensleben;19247;52,2833;11,4167
Sömmerda;19034;51,1617;11,1169
Prenzlau;19024;53,3167;13,8667
Wittlich;18995;49,9869;6,8897
Dillingen;18978;48,5667;10,4667
Bad Tölz;18802;47,7603;11,5567
Marktoberdorf;18539;47,7667;10,6167
Alzey;18535;49,7517;8,1161
Bad Dürkheim;18476;49,4618;8,1724
Weißenburg;18464;49,0306;10,9719
Bad Reichenhall;18278;47,7247;12,8769
Forst (Lausitz);18164;51,7333;14,6333
Parchim;18037;53,4167;11,8333
Sigmaringen;17278;48,0867;9,2164
Bad Segeberg;17267;53,9356;10,3089
Heilbad Heiligenstadt;17105;51,3775;10,1344
Eutin;16971;54,1378;10,6181
Cham;16907;49,2183;12,6658
Diepholz;16882;52,6072;8,3711
Kronach;16874;50,2411;11,3281
Kelheim;16714;48,9167;11,8667
Bad Neustadt;15411;50,3219;10,2161
Künzelsau;15391;49,2833;9,6833
Mindelheim;15002;48,0333;10,4667
Brake;14965;53,3333;8,4833
Bitburg;14904;49,9747;6,5256
Ratzeburg;14652;53,7017;10,7567
Jever;14301;53,5744;7,9008
Lübben (Spreewald);14024;51,95;13,9
Montabaur;13691;50,4375;7,8258
Erbach;13666;49,6569;8,9931
Lauterbach;13664;50,6378;9,3944
Haßfurt;13609;50,0353;10,5123
Eichstätt;13525;48,8919;11,1839
Tauberbischofsheim;13231;49,6225;9,6628
Neustadt;13121;49,58;10,6089
Pfarrkirchen;12677;48,4419;12,9443
Ebersberg;12239;48,0833;11,9667
Perleberg;12141;53,0667;11,8667
Bad Fallingbostel;11852;52,8675;9,6967
Hildburghausen;11836;50,4261;10,7289
Miesbach;11562;47,789;11,8338
Bad Schwalbach;11187;50,1401;8,0694
Regen;11001;48,97;13,1264
Eisenberg;10885;50,9667;11,9
Altötting;10119;48,2264;12,6759
Bad Ems;9681;50,3381;7,7106
Lüchow;9437;52,9667;11,15
